file_path,filename,crop,condition_type,disease_name,scientific_name,canonical_id,class_index,source,split
cv/datasets/raw/plantdoc_repo/train/Tomato leaf late blight/Fig.%2014_opta.jpg,Fig.%2014_opta.jpg,tomato,fungal,Late Blight,Phytophthora infestans,tomato__fungal__late_blight,30,plantdoc_field,train
cv/datasets/raw/plantdoc_repo/train/Tomato leaf late blight/tomato-blight-phytophthora-infestans-close-up-of-infected-leaf-b5n95x.jpg,tomato-blight-phytophthora-infestans-close-up-of-infected-leaf-b5n95x.jpg,tomato,fungal,Late Blight,Phytophthora infestans,tomato__fungal__late_blight,30,plantdoc_field,train
cv/datasets/raw/plantdoc_repo/train/Tomato leaf late blight/Late-blight-tomato-leaf-VikramBisht-MBag.jpg,Late-blight-tomato-leaf-VikramBisht-MBag.jpg,tomato,fungal,Late Blight,Phytophthora infestans,tomato__fungal__late_blight,30,plantdoc_field,train
cv/datasets/raw/plantdoc_repo/train/Tomato leaf late blight/lb_leaf_lesions3x1200.jpg,lb_leaf_lesions3x1200.jpg,tomato,fungal,Late Blight,Phytophthora infestans,tomato__fungal__late_blight,30,plantdoc_field,train
cv/datasets/raw/plantdoc_repo/train/Tomato leaf late blight/lb_leaf_lesions2x1200.jpg,lb_leaf_lesions2x1200.jpg,tomato,fungal,Late Blight,Phytophthora infestans,tomato__fungal__late_blight,30,plantdoc_field,train
cv/datasets/raw/plantdoc_repo/train/Tomato leaf late blight/late_blight_tomato_leaf.jpg,late_blight_tomato_leaf.jpg,tomato,fungal,Late Blight,Phytophthora infestans,tomato__fungal__late_blight,30,plantdoc_field,train
cv/datasets/raw/plantdoc_repo/train/Tomato leaf late blight/LateBlt09_05.jpg,LateBlt09_05.jpg,tomato,fungal,Late Blight,Phytophthora infestans,tomato__fungal__late_blight,30,plantdoc_field,train
cv/datasets/raw/plantdoc_repo/train/Tomato leaf late blight/photo-9.jpg,photo-9.jpg,tomato,fungal,Late Blight,Phytophthora infestans,tomato__fungal__late_blight,30,plantdoc_field,train
cv/datasets/raw/plantdoc_repo/train/Tomato leaf late blight/dsc_4621c.jpg,dsc_4621c.jpg,tomato,fungal,Late Blight,Phytophthora infestans,tomato__fungal__late_blight,30,plantdoc_field,train
cv/datasets/raw/plantdoc_repo/train/Tomato leaf late blight/late_blight_2013_longisland1x1200.jpg,late_blight_2013_longisland1x1200.jpg,tomato,fungal,Late Blight,Phytophthora infestans,tomato__fungal__late_blight,30,plantdoc_field,train
cv/datasets/raw/plantdoc_repo/train/Tomato leaf late blight/IMG_1526.jpg,IMG_1526.jpg,tomato,fungal,Late Blight,Phytophthora infestans,tomato__fungal__late_blight,30,plantdoc_field,train
cv/datasets/raw/plantdoc_repo/train/Tomato leaf late blight/F%294.jpg,F%294.jpg,tomato,fungal,Late Blight,Phytophthora infestans,tomato__fungal__late_blight,30,plantdoc_field,train
cv/datasets/raw/plantdoc_repo/train/Tomato leaf late blight/lateblightTom_lesion.jpg,lateblightTom_lesion.jpg,tomato,fungal,Late Blight,Phytophthora infestans,tomato__fungal__late_blight,30,plantdoc_field,train
cv/datasets/raw/plantdoc_repo/train/Tomato leaf late blight/IMG_5813.jpg,IMG_5813.jpg,tomato,fungal,Late Blight,Phytophthora infestans,tomato__fungal__late_blight,30,plantdoc_field,train
cv/datasets/raw/plantdoc_repo/train/Tomato leaf late blight/IMG_2254.JPG.jpg,IMG_2254.JPG.jpg,tomato,fungal,Late Blight,Phytophthora infestans,tomato__fungal__late_blight,30,plantdoc_field,train
cv/datasets/raw/plantdoc_repo/train/Tomato leaf late blight/late_blight_tomato_leaf5x12001.jpg,late_blight_tomato_leaf5x12001.jpg,tomato,fungal,Late Blight,Phytophthora infestans,tomato__fungal__late_blight,30,plantdoc_field,train
cv/datasets/raw/plantdoc_repo/train/Tomato leaf late blight/Late-Blight-on-Tomato-4JDill.jpg,Late-Blight-on-Tomato-4JDill.jpg,tomato,fungal,Late Blight,Phytophthora infestans,tomato__fungal__late_blight,30,plantdoc_field,train
cv/datasets/raw/plantdoc_repo/train/Tomato leaf late blight/IMG_5368.jpg,IMG_5368.jpg,tomato,fungal,Late Blight,Phytophthora infestans,tomato__fungal__late_blight,30,plantdoc_field,train
cv/datasets/raw/plantdoc_repo/train/Tomato leaf late blight/LBleaf2INIA_0.jpg,LBleaf2INIA_0.jpg,tomato,fungal,Late Blight,Phytophthora infestans,tomato__fungal__late_blight,30,plantdoc_field,train
cv/datasets/raw/plantdoc_repo/train/Tomato leaf late blight/LateBlight-Leaflet-Large-Spot_9005-ROTATED-sbzntn.jpg,LateBlight-Leaflet-Large-Spot_9005-ROTATED-sbzntn.jpg,tomato,fungal,Late Blight,Phytophthora infestans,tomato__fungal__late_blight,30,plantdoc_field,train
cv/datasets/raw/plantdoc_repo/train/Tomato leaf late blight/tomato-late-blight-foliar-lesions_Scot-Nelson_CC-BY-SA-2.0.jpg,tomato-late-blight-foliar-lesions_Scot-Nelson_CC-BY-SA-2.0.jpg,tomato,fungal,Late Blight,Phytophthora infestans,tomato__fungal__late_blight,30,plantdoc_field,train
cv/datasets/raw/plantdoc_repo/train/Tomato leaf late blight/TomatoBlight.JPG.jpg,TomatoBlight.JPG.jpg,tomato,fungal,Late Blight,Phytophthora infestans,tomato__fungal__late_blight,30,plantdoc_field,train
cv/datasets/raw/plantdoc_repo/train/Tomato leaf late blight/Late_blight_on_tomato_leaf_%287871756748%29.jpg,Late_blight_on_tomato_leaf_%287871756748%29.jpg,tomato,fungal,Late Blight,Phytophthora infestans,tomato__fungal__late_blight,30,plantdoc_field,train
cv/datasets/raw/plantdoc_repo/train/Tomato leaf late blight/late_blight_tomato_transplant2x1200.jpg,late_blight_tomato_transplant2x1200.jpg,tomato,fungal,Late Blight,Phytophthora infestans,tomato__fungal__late_blight,30,plantdoc_field,train
cv/datasets/raw/plantdoc_repo/train/Tomato leaf late blight/LateBlight-Tomato-JJ-2009-17nxg4q.jpg,LateBlight-Tomato-JJ-2009-17nxg4q.jpg,tomato,fungal,Late Blight,Phytophthora infestans,tomato__fungal__late_blight,30,plantdoc_field,train
cv/datasets/raw/plantdoc_repo/train/Tomato leaf late blight/tomato-late-blight-phytophthora-infestans-lesions-and-damage-on-tomato-bh3w9j.jpg,tomato-late-blight-phytophthora-infestans-lesions-and-damage-on-tomato-bh3w9j.jpg,tomato,fungal,Late Blight,Phytophthora infestans,tomato__fungal__late_blight,30,plantdoc_field,train
cv/datasets/raw/plantdoc_repo/train/Tomato leaf late blight/tomato-late-blight-conn-2015-137c.jpg,tomato-late-blight-conn-2015-137c.jpg,tomato,fungal,Late Blight,Phytophthora infestans,tomato__fungal__late_blight,30,plantdoc_field,train
cv/datasets/raw/plantdoc_repo/train/Tomato leaf late blight/600.jpg,600.jpg,tomato,fungal,Late Blight,Phytophthora infestans,tomato__fungal__late_blight,30,plantdoc_field,train
