file_path,filename,crop,condition_type,disease_name,scientific_name,canonical_id,class_index,source,domain,split
cv/datasets/raw/plantdoc_repo/train/Bell_pepper leaf spot/BacterialSpot09.jpg,BacterialSpot09.jpg,pepper,bacterial,Bacterial Spot,Xanthomonas campestris,pepper__bacterial__bacterial_spot,18,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Apple leaf/apple-tree-leaf-curl-apple-tree-leaf-curl-aphids-apple-tree-leaves-curling-too-much-water.jpg,apple-tree-leaf-curl-apple-tree-leaf-curl-aphids-apple-tree-leaves-curling-too-much-water.jpg,apple,healthy,Healthy Apple Leaf,,apple__healthy__healthy,3,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Potato leaf late blight/6a00d8341c4fe353ef011571354632970c-800wi.jpg,6a00d8341c4fe353ef011571354632970c-800wi.jpg,potato,fungal,Late Blight,Phytophthora infestans,potato__fungal__late_blight,21,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Soyabean leaf/soy-leaf-27914090.jpg,soy-leaf-27914090.jpg,soybean,healthy,Healthy Soybean Leaf,,soybean__healthy__healthy,24,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Tomato leaf bacterial spot/Bacterial_spots1300.jpg,Bacterial_spots1300.jpg,tomato,bacterial,Bacterial Spot,Xanthomonas perforans,tomato__bacterial__bacterial_spot,28,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Potato leaf late blight/late_blight.jpg,late_blight.jpg,potato,fungal,Late Blight,Phytophthora infestans,potato__fungal__late_blight,21,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Apple rust leaf/DIsease-Pest-Management.jpg,DIsease-Pest-Management.jpg,apple,fungal,Cedar Apple Rust,Gymnosporangium juniperi-virginianae,apple__fungal__cedar_apple_rust,2,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Corn rust leaf/imag4090.jpg,imag4090.jpg,corn,fungal,Common Rust,Puccinia sorghi,corn__fungal__common_rust,8,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Tomato mold leaf/607-155-0.jpg,607-155-0.jpg,tomato,fungal,Leaf Mold,Passalora fulva,tomato__fungal__leaf_mold,31,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Potato leaf late blight/Potato-late-blight-in-field-trial-1.jpg,Potato-late-blight-in-field-trial-1.jpg,potato,fungal,Late Blight,Phytophthora infestans,potato__fungal__late_blight,21,plantdoc_field,field,train
